age;education;duration;campaign;pdays;previous;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y;was_contacted_before;education_rank;job_blue-collar;job_entrepreneur;job_housemaid;job_management;job_retired;job_self-employed;job_services;job_student;job_technician;job_unemployed;marital_married;marital_single;default_unknown;default_yes;housing_yes;loan_yes;contact_telephone;day_of_week_mon;day_of_week_thu;day_of_week_tue;day_of_week_wed;poutcome_nonexistent;poutcome_success;age_band_26-35;age_band_36-45;age_band_46-55;age_band_56-65;age_band_66+;month_sin;month_cos;campaign_intensity;emp.var.rate_denoised;cons.price.idx_denoised;cons.conf.idx_denoised;euribor3m_denoised;nr.employed_denoised;campaign_capped;campaign_log;duration_capped;duration_log
56;basic.4y;261;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;True;True;False;False;False;True;False;False;False;False;True;False;0.4999999999999999;-0.8660254037844387;1.0;1.1137134780612494;94.0005558372602;-36.35599703522971;4.758859354377234;5193.833560194204;1;0.6931471805599453;261.0;5.568344503761097
57;high.school;149;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;4;False;False;False;False;False;False;True;False;False;False;True;False;True;False;False;False;True;True;False;False;False;True;False;False;False;False;True;False;0.4999999999999999;-0.8660254037844387;1.0;1.1137134780612494;94.0005558372602;-36.35599703522971;4.758859354377234;5193.833560194204;1;0.6931471805599453;149.0;5.0106352940962555
37;high.school;226;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;4;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;True;True;False;False;False;True;False;False;True;False;False;False;0.4999999999999999;-0.8660254037844387;1.0;1.1137134780612494;94.0005558372602;-36.35599703522971;4.758859354377234;5193.833560194204;1;0.6931471805599453;226.0;5.424950017481403
40;basic.6y;151;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;2;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;True;False;False;False;True;False;False;True;False;False;False;0.4999999999999999;-0.8660254037844387;1.0;1.1137134780612494;94.0005558372602;-36.35599703522971;4.758859354377234;5193.833560194204;1;0.6931471805599453;151.0;5.0238805208462765
56;high.school;307;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;4;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;True;True;True;False;False;False;True;False;False;False;False;True;False;0.4999999999999999;-0.8660254037844387;1.0;1.1137134780612494;94.0005558372602;-36.35599703522971;4.758859354377234;5193.833560194204;1;0.6931471805599453;307.0;5.730099782973574
45;basic.9y;198;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;3;False;False;False;False;False;False;True;False;False;False;True;False;True;False;False;False;True;True;False;False;False;True;False;False;True;False;False;False;0.4999999999999999;-0.8660254037844387;1.0;1.1137134780612494;94.0005558372602;-36.35599703522971;4.758859354377234;5193.833560194204;1;0.6931471805599453;198.0;5.293304824724492
59;professional.course;139;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;5;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;True;False;False;False;True;False;False;False;False;True;False;0.4999999999999999;-0.8660254037844387;1.0;1.1137134780612494;94.0005558372602;-36.35599703522971;4.758859354377234;5193.833560194204;1;0.6931471805599453;139.0;4.941642422609304
41;university.degree;217;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;6;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;True;False;False;False;True;False;False;True;False;False;False;0.4999999999999999;-0.8660254037844387;1.0;1.1137134780612494;94.0005558372602;-36.35599703522971;4.758859354377234;5193.833560194204;1;0.6931471805599453;217.0;5.384495062789089
24;professional.course;380;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;5;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;True;True;False;False;False;True;False;False;False;False;False;False;0.4999999999999999;-0.8660254037844387;1.0;1.1137134780612494;94.0005558372602;-36.35599703522971;4.758859354377234;5193.833560194204;1;0.6931471805599453;380.0;5.942799375126701
25;high.school;50;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;4;False;False;False;False;False;False;True;False;False;False;False;True;False;False;True;False;True;True;False;False;False;True;False;False;False;False;False;False;0.4999999999999999;-0.8660254037844387;1.0;1.1137134780612494;94.0005558372602;-36.35599703522971;4.758859354377234;5193.833560194204;1;0.6931471805599453;50.0;3.9318256327243257
41;university.degree;55;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;6;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;True;False;False;False;True;False;False;True;False;False;False;0.4999999999999999;-0.8660254037844387;1.0;1.1137134780612494;94.0005558372602;-36.35599703522971;4.758859354377234;5193.833560194204;1;0.6931471805599453;55.0;4.02535169073515
